state,Year,Latitude,Longitude,lf,lf_employed,lf_employed_000s,lf_unemployed,lf_outside,p_rate,u_rate,population_000s,lf_employed_per_population,working_population,working_population_000s,lf_employed_per_working_population
Perak,2017,4.812181,100.9797908,1051.8,1006.6,1006600,45.2,614.9,63.1,4.3,2493200,40.37381678,1693.1,1693100,59.45307424
Perlis,2017,6.486839199,100.2577623,101.2,98.6,98600,2.6,68.3,59.7,2.6,252000,39.12698413,168.5,168500,58.51632047
Pulau Pinang,2017,5.406501299,100.2559077,848.9,835.3,835300,13.6,392.1,68.4,1.6,1744100,47.89289605,1259.2,1259200,66.33576874
Sabah,2017,5.425735899,114.5326392,1899.7,1794.8,1794800,105,868.5,68.6,5.5,3855900,46.54685028,2800.8,2800800,64.08169095
Sarawak,2017,2.5023855,110.9547283,1322.3,1279.6,1279600,42.6,575.4,69.7,3.2,2766300,46.25673282,1908.9,1908900,67.03337
Selangor,2017,3.5083304,101.304146,3336.5,3223.1,3223100,113.4,1197.7,73.6,3.4,6380700,50.51326657,4573.3,4573300,70.4764612
Terengganu,2017,4.8630743,102.9949297,467,447.2,447200,19.8,291,61.6,4.2,1208000,37.01986755,775.1,775100,57.69578119
Kuala Lumpur,2017,3.1526589,101.7022205,846.1,817.2,817200,28.9,420.2,66.8,3.4,1793200,45.5721615,1308.9,1308900,62.43410497
Labuan,2017,5.316833599,112.448438,42.6,39.4,39400,3.2,22.7,65.2,7.5,97600,40.36885246,67.3,67300,58.54383358
Putrajaya,2017,2.9384381,101.69223,36,35.5,35500,0.5,13.3,73.1,1.3,87500,40.57142857,53,53000,66.98113208
